"CubeId";"snbiproga"
"PublishingDate";"2025-03-26 15:00"

"Date";"D0";"D1";"Value"
"2002";"S2005PL075P";"P";
"2002";"D2005PL100P";"BI";
"2002";"D2005PL100P";"P";
"2002";"M2006PL125P";"BI";
"2002";"M2006PL125P";"P";
"2002";"J2006PL15P0";"BI";
"2002";"J2006PL15P0";"P";
"2002";"S2006PL175P";"BI";
"2002";"S2006PL175P";"P";
"2002";"D2006PL200P";"BI";
"2002";"D2006PL200P";"P";
"2002";"M2007PL225P";"BI";
"2002";"M2007PL225P";"P";
"2002";"J2007PL250P";"BI";
"2002";"J2007PL250P";"P";
"2002";"S2007PL275P";"BI";
"2002";"S2007PL275P";"P";
"2002";"D2007PL275P";"BI";
"2002";"D2007PL275P";"P";
"2002";"M2008PL275P";"BI";
"2002";"M2008PL275P";"P";
"2002";"J2008PL275P";"BI";
"2002";"J2008PL275P";"P";
"2002";"S2008PL275P";"BI";
"2002";"S2008PL275P";"P";
"2002";"D2008PL050P";"BI";
"2002";"D2008PL050P";"P";
"2002";"M2009PL025P";"BI";
"2002";"M2009PL025P";"P";
"2002";"J2009PL025P";"BI";
"2002";"J2009PL025P";"P";
"2002";"S2009PL025P";"BI";
"2002";"S2009PL025P";"P";
"2002";"D2009PL025P";"BI";
"2002";"D2009PL025P";"P";
"2002";"M2010PL025P";"BI";
"2002";"M2010PL025P";"P";
"2002";"J2010PL025P";"BI";
"2002";"J2010PL025P";"P";
"2002";"S2010PL025P";"BI";
"2002";"S2010PL025P";"P";
"2002";"D2010PL025P";"BI";
"2002";"D2010PL025P";"P";
"2002";"M2011PL025P";"BI";
"2002";"M2011PL025P";"P";
"2002";"J2011PL025P";"BI";
"2002";"J2011PL025P";"P";
"2002";"S2011PL000P";"BI";
"2002";"S2011PL000P";"P";
"2002";"D2011PL000P";"BI";
"2002";"D2011PL000P";"P";
"2002";"M2012PL000P";"BI";
"2002";"M2012PL000P";"P";
"2002";"J2012PL000P";"BI";
"2002";"J2012PL000P";"P";
"2002";"S2012PL000P";"BI";
"2002";"S2012PL000P";"P";
"2002";"D2012PL000P";"BI";
"2002";"D2012PL000P";"P";
"2002";"M2013PL000P";"BI";
"2002";"M2013PL000P";"P";
"2002";"J2013PL000P";"BI";
"2002";"J2013PL000P";"P";
"2002";"S2013PL000P";"BI";
"2002";"S2013PL000P";"P";
"2002";"D2013PL000P";"BI";
"2002";"D2013PL000P";"P";
"2002";"M2014PL000P";"BI";
"2002";"M2014PL000P";"P";
"2002";"J2014PL000P";"BI";
"2002";"J2014PL000P";"P";
"2002";"S2014PL000P";"BI";
"2002";"S2014PL000P";"P";
"2002";"D2014PL000P";"BI";
"2002";"D2014PL000P";"P";
"2002";"M2015PL075P";"BI";
"2002";"M2015PL075P";"P";
"2002";"J2015PL075P";"BI";
"2002";"J2015PL075P";"P";
"2002";"S2015PL075P";"BI";
"2002";"S2015PL075P";"P";
"2002";"D2015PL075P";"BI";
"2002";"D2015PL075P";"P";
"2002";"M2016PL075P";"BI";
"2002";"M2016PL075P";"P";
"2002";"J2016PL075P";"BI";
"2002";"J2016PL075P";"P";
"2002";"S2016PL075P";"BI";
"2002";"S2016PL075P";"P";
"2002";"D2016PL075P";"BI";
"2002";"D2016PL075P";"P";
"2002";"M2017PL075P";"BI";
"2002";"M2017PL075P";"P";
"2002";"J2017PL075P";"BI";
"2002";"J2017PL075P";"P";
"2002";"S2017PL075P";"BI";
"2002";"S2017PL075P";"P";
"2002";"D2017PL075P";"BI";
"2002";"D2017PL075P";"P";
"2002";"M2018PL075P";"BI";
"2002";"M2018PL075P";"P";
